step 0
step 1
2 1078.1055242391349 975.068573424588
3 867.9471908323278 989.1489267422402
4 826.0056473263276 1350.6862249905635
5 1115.8006792341448 1103.0833153780088
6 664.8466254834915 1229.1890187857546
7 1082.5090073278182 1170.1032138502176
8 1371.9543778967904 1119.4329263243385
9 1346.770833859605 812.5898377307676
step 8
0 1277.578516693221 889.5231103946553
1 1129.5976497998024 922.8507016296016
10 1082.8054007591134 868.3158916649701
11 974.254461918708 867.5033217872838
12 682.2762090261674 934.6672743461752
13 1276.8093877471058 1205.8997161023517
14 1134.8493403155244 896.1305885256211
15 875.9727571685262 1047.7574125975223
16 664.6846698210525 820.2679245572277
17 1132.9707392370842 1413.1698004072628
18 684.2330933664873 834.8874334647896
19 1270.7785900846334 1317.6934215420715
2 1066.9324955203708 974.2506865103447
20 623.837626274033 1353.5906639842965
3 867.2367925960083 998.9701182439934
4 826.6951524412821 1341.96601324261
5 1115.342567190185 1109.0710789141585
6 672.3443696553455 1229.8503413146943
7 1076.347387506362 1169.6276962521708
8 1371.031643350625 1127.066900001105
9 1346.1717833767734 819.4414776281529
step 9
0 1269.6950477714324 888.9151629527638
1 1129.0875841028947 929.5210500679125
10 1091.6657525824005 868.954143731493
11 966.1198273533876 866.8483446837363
12 688.5172196973638 935.1586111060784
13 1276.3232614312717 1212.2261571776467
14 1134.4140924734493 901.8232287533551
15 879.546799243031 1048.0366398659191
16 668.1571630455002 815.8423679298957
17 1137.6351444076593 1414.1518100357682
18 685.630897200914 835.0022238209039
19 1270.6005902710601 1319.9344166633355
2 1054.343193562604 973.3291257062074
20 624.0299778516882 1351.8472220251238
21 948.9800591715976 1260.8476035502958
22 1124.8535917261904 1166.9582250556625
3 866.4224407800407 1010.2284586022888
4 827.5371182917097 1331.2587920599708
5 1114.8791988248893 1115.1215113440091
6 680.0713333983587 1230.5318816668896
7 1069.542681377361 1169.102549033154
8 1370.171389275161 1134.1839598258582
9 1345.5773542916315 826.240260289464
step 10
0 1261.1693600649764 888.2576896903043
1 1128.5390133715757 936.694945397745
10 1099.8168670575603 869.5433499230371
11 958.8265700048565 866.2630015853867
12 695.668823854831 938.9313180419279
13 1275.647408395718 1220.406291251124
14 1133.854787663232 909.1384196731492
15 884.59914260453 1051.6487741980113
16 668.5871373345832 808.8171704815709
17 1143.7236218809508 1414.634422112686
18 688.588313428972 835.2450925651694
19 1267.036463725463 1324.3946225146133
2 1041.2370575848158 972.3697316705935
20 624.4391648670438 1347.898597724231
21 946.435144663007 1260.6864088665009
22 1126.3316042081196 1167.0740057152016
23 1337.2219249985023 1383.0407710401444
24 862.0523984526112 1068.372901353965
25 842.8534384858044 1265.0988840694006
3 865.464213081953 1023.4758700457079
4 828.4476737702342 1318.805107813318
